"Date","Time","Course","Horse","EvP","E--B","BrP","B--M","MoP","E--M","NRs","Odds","E--SP","Finishing Position","UR1_Rank","Jockey","Trainer","dyLTO","UR1","DSLR","OR","dyHA","dyMR","dyAVG(X)","dyHC","dyMR(X)","dy2HA","dyAVG","TissueRating","PFR","TIS+PFR","Pace","Time","Distance","Race Type","Class","ClassNumber","DistanceInYards","JockeyClaim","Prize","Race","Fin Pos","UR2","UR3","UR4","Pounds","Form","Won Since","Plc Since","Runs Since","SR Since","Plc SR Since","P/L Since","Won Before","Plc Before","Runs Before","SR Before","Plc SR Before","Finished Races SR","P/L Before","VDW","Class LTO","New Class LTO","Value LTO","Pounds LTO","Distance LTO","Distance in Yards LTO","BSP_(Decimal)_LTO","SP_(Decimal)_LTO","PaceForm","Pace %","Draw","Age","Weight","History","#","Rating","Classifications","Course Characteristics","Qual","Tissue Odds","Tissue Numerical Odds","Min Age","Max Age","Hcap Limit","Runners","Orig_Runners","Main","Main Stats","Stats","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","DSLR(F)","DSLR(J)","Colour","Sex","Dam","Sire","Equip","Pen","Draw IV","FWins","FRuns","fPRB","fPRB^2","50% Low SR","70% Low SR","PvSTot","PvSTotL3","50% High SR","12 Tick Higher SR","BSP","IR_Lowest","%DiffLOW","IR_Highest","Replay","%DiffHIGH","Sex","t7PRB","t14PRB","t28PRB","t56PRB","UR5","UR6","Numerical Odds","POSAFTUPG","CHGPOS","LTO_POSAFTUPG","LTO_CHGPOS"
"31/08/2026","15:30","Chepstow","Ajrad","5.50","-26.00","4.33","-24.92","3.50","-44.44","NO","","0.00","","7","Lewis Edmunds","Rod Millman","53","81","13","52","72","56","57","F","58","71","56","30","27","57","0","31/08/2026 15:30","7f 16y","Turf","F","6","1556","0","3768.00","Runtech Ltd Handicap (Div 1) (Class F)","","","","0.00","132","79-86565354","0","0","0","0.00","0.00","0.00","8","13","71","11.27","18.31","0.00","-16.67","34.33","F","6","3454.00","123","1m 14y","1774","5.63","4.50","HH-HHHHHHHH","0.00","2","8","9.6","C D","3","0","Hcap","Left - Galloping / Undulating","3yo+,55","13/2","6.50","3","","55","11","11","319","562","243","79","69","81","14","13","","ch","g","Princess Cammie","New Approach","p","0","0.95","8","71","54.41","37.72","26.76","18.31","-9","-3","25.00","25.00","1.00","0.00","0.00","0.00","NO","0.00","Male","65.48","58.71","55.31","60.88","0.00","0.00","0.00","","","",""
"31/08/2026","15:30","Chepstow","Snow Day","41.00","0.00","41.00","0.00","41.00","0.00","NO","","0.00","","10","Myla Coppins","Tony Carroll","48","31","24","46","60","44","51","F","48","48","33","9","11","20","0","31/08/2026 15:30","7f 16y","Turf","F","6","1556","5","3768.00","Runtech Ltd Handicap (Div 1) (Class F)","","","","0.00","121","00-0866","0","0","0","0.00","0.00","0.00","0","0","6","0.00","0.00","0.00","-6.00","0.00","F","6","4187.00","116","6f 210y","1530","40.00","34.00","HH-HHHH","0.00","1","3","8.9","","11","0","Hcap","Left - Galloping / Undulating","3yo+,55","25/1","25.00","3","","55","11","11","207","490","283","81","81","82","39","24","","b","f","Neige D'Antan","Aclaim","","0","0.89","0","6","9.76","2.86","50.00","16.67","6","3","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Female","49.45","45.67","46.55","45.75","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Devil In The Sky","21.00","65.00","34.00","0.00","34.00","65.00","NO","","0.00","","13","Mr G Ancenys","Gary Moore","","25","","79","","","","","","","","0","15","15","0","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","4","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","157","","0","0","0","0.00","0.00","0.00","0","0","0","0.00","0.00","0.00","0.00","0.00","","","0.00","","","0","0.00","0.00","","0.00","13","6","11.3","","7","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","","0.00","4","","90","14","14","94","389","295","72","68","97","58","","","ch","g","Diablesse","Starspangledbanner","t","0","0.35","0","0","0.00","0.00","0.00","0.00","","","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","45.56","50.20","49.87","53.88","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Divine Knight","4.33","-24.92","3.50","20.00","4.00","-9.91","NO","","0.00","","2","Mr Henry Callan","William Haggas","73","119","30","81","75","67","65","C","67","73","64","31","34","65","8","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","0","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","159","17240-6335","0","0","0","0.00","0.00","0.00","1","2","9","11.11","22.22","0.00","1.00","43.20","C","3","10308.00","130","1m 4f","2640","2.32","2.25","PHPHH-HPLP","12.00","9","5","11.5","BF","6","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","17/2","8.50","4","","90","14","14","275","588","313","89","95","97","32","30","","b","g","Diantha","Night Of Thunder","","0","1.52","1","9","58.91","40.93","44.44","33.33","1","-3","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","54.24","63.97","62.62","59.71","0.00","0.00","0.00","","","",""
"31/08/2026","15:30","Chepstow","Aplaceinthesun","17.00","25.00","21.00","-20.00","17.00","0.00","NO","","0.00","","11","Libby Swallow","Ollie Sangster","53","17","20","48","63","44","51","F","53","53","47","7","8","15","2","31/08/2026 15:30","7f 16y","Turf","F","6","1556","7","3768.00","Runtech Ltd Handicap (Div 1) (Class F)","","","","0.00","123","3808-740","0","0","0","0.00","0.00","0.00","0","0","7","0.00","0.00","0.00","-7.00","0.00","F","6","3245.00","123","7f 1y","1541","25.72","21.00","HPHH-PHH","6.00","9","3","8.11","","10","0","Hcap","Left - Galloping / Undulating","3yo+,55","33/1","33.00","3","","55","11","11","215","469","254","83","57","66","48","20","","ch","f","Ducissa","Zoustar","","0","1.26","0","7","19.88","11.12","0.00","0.00","-1","1","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Female","35.55","37.12","39.35","47.43","0.00","0.00","0.00","","","",""
"31/08/2026","15:35","Epsom","Crooked Path","5.50","11.11","6.00","0.00","6.00","11.11","NO","","0.00","","3","Mr S Walker","James Owen","48","104","19","72","69","52","48","E","48","68","51","25","42","67","6","31/08/2026 15:35","1m 4f 6y","Turf","D","4","2646","0","9778.00","Betfred 'Nifty 50' Amateurs' Derby Handicap (Gentleman Amateur Jockeys) (GBBPlus Race) (Class D)","","","","0.00","150","4352-623311","0","0","0","0.00","0.00","0.00","2","5","18","11.11","27.78","100.00","-12.52","41.87","E","5","4187.00","137","1m 3f 219y","2639","4.20","3.75","PPPL-LPHPLH","9.00","8","4","10.10","D","12","0","Hcap-Ama","Left - Sharp / Undulating","4yo+,90","11/1","11.00","4","","90","14","14","217","520","303","89","74","91","49","19","133","ch","g","Moving Heart","Waldgeist","","0","1.22","2","18","62.06","45.44","33.33","22.22","12","3","50.00","100.00","1.00","0.00","0.00","0.00","NO","0.00","Male","23.69","44.91","52.75","58.47","0.00","0.00","0.00","","","",""
"31/08/2026","15:40","Ripon","Firefall","7.00","41.67","9.50","64.71","15.00","133.33","NO","","0.00","","7","Oisin Orr","Ed Bethell","","103","","88","","","","","","","","0","29","29","0","31/08/2026 15:40","1m","Turf","B","2","1760","0","15462.00","Ripon Rowels Handicap (Class B)","","","","0.00","124","","0","0","0","0.00","0.00","0.00","0","0","0","0.00","0.00","0.00","0.00","0.00","","","0.00","","","0","0.00","0.00","","0.00","1","3","8.12","","8","0","Hcap","Right - Sharp","3yo+,105","","0.00","3","","105","9","9","221","547","326","89","86","96","55","","","b","c","Flare Of Firelight","Kingman","","0","1.48","0","0","0.00","0.00","0.00","0.00","","","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","79.49","55.96","65.48","65.54","0.00","0.00","0.00","","","",""
"31/08/2026","15:40","Ripon","Thunder Roar","17.00","0.00","17.00","37.50","23.00","37.50","NO","","0.00","","9","David Nolan","Tony Coyle","58","97","87","93","76","65","65","B","66","74","63","19","34","53","0","31/08/2026 15:40","1m","Turf","B","2","1760","0","15462.00","Ripon Rowels Handicap (Class B)","","","","0.00","135","084102-7000","0","0","0","0.00","0.00","0.00","5","12","33","15.15","36.36","0.00","-2.93","103.20","B","2","38655.00","134","1m 113y","1873","33.62","26.00","HHHHHH-HHHH","0.00","7","7","9.9","D","2","0","Hcap","Right - Sharp","3yo+,105","9/1","9.00","3","","105","9","9","281","544","263","61","67","79","56","87","","ch","g","Dominike","Night Of Thunder","p","0","0.90","5","33","62.16","49.26","39.39","33.33","3","-1","20.00","40.00","1.00","0.00","0.00","0.00","NO","0.00","Male","42.11","49.31","52.10","51.17","0.00","0.00","0.00","","","14","2"
"31/08/2026","15:40","Ripon","Mr Professor","6.50","36.36","8.50","20.00","10.00","63.64","NO","","0.00","","4","D Egan","Kevin Foy","66","123","12","87","76","64","66","C","66","70","61","26","19","45","8","31/08/2026 15:40","1m","Turf","B","2","1760","0","15462.00","Ripon Rowels Handicap (Class B)","","","","0.00","129","6/1000/056-62","0","0","0","0.00","0.00","0.00","5","3","30","16.67","10.00","0.00","49.25","237.53","D","4","6281.00","137","1m","1760","27.46","23.00","P/HPHP/PPP-LP","24.00","3","7","9.3","D","4","0","Hcap","Right - Sharp","3yo+,105","6/1","6.00","3","","105","9","9","293","577","284","82","78","75","49","12","","b","g","Law Of The Range","Profitable","","0","0.76","5","30","52.18","38.62","53.33","36.67","8","3","20.00","20.00","1.00","0.00","0.00","0.00","NO","0.00","Male","53.44","62.10","57.20","58.56","0.00","0.00","0.00","","","",""
"31/08/2026","15:40","Ripon","Majestic Dane","4.33","35.14","5.50","44.44","7.50","95.20","NO","","0.00","","2","Clifford Lee","K R Burke","52","132","193","86","53","52","52","D","52","52","52","0","43","43","4","31/08/2026 15:40","1m","Turf","B","2","1760","0","15462.00","Ripon Rowels Handicap (Class B)","","","","0.00","122","12","0","0","0","0.00","0.00","0.00","1","1","2","50.00","50.00","0.00","-0.43","54.00","D","4","5400.00","127","7f 14y","1554","3.69","3.25","PP","12.00","2","3","8.10","","9","0","Hcap","Right - Sharp","3yo+,105","","0.00","3","","105","9","9","274","581","307","82","85","85","55","193","","b","g","Enough's Enough","Showcasing","","0","1.48","1","2","87.50","78.13","100.00","50.00","2","2","0.00","0.00","1.00","0.00","0.00","0.00","NO","0.00","Male","68.20","54.44","57.46","56.91","0.00","0.00","0.00","","","2","0"
