"Date","Time","Course","Horse","EvP","E--B","BrP","B--M","MoP","E--M","NRs","Odds","E--SP","Finishing Position","UR1_Rank","Jockey","Trainer","dyLTO","UR1","DSLR","OR","dyHA","dyMR","dyAVG(X)","dyHC","dyMR(X)","dy2HA","dyAVG","TissueRating","PFR","TIS+PFR","Pace","Time","Distance","Race Type","Class","ClassNumber","DistanceInYards","JockeyClaim","Prize","Race","Fin Pos","UR2","UR3","UR4","Pounds","Form","Won Since","Plc Since","Runs Since","SR Since","Plc SR Since","P/L Since","Won Before","Plc Before","Runs Before","SR Before","Plc SR Before","Finished Races SR","P/L Before","VDW","Class LTO","New Class LTO","Value LTO","Pounds LTO","Distance LTO","Distance in Yards LTO","BSP_(Decimal)_LTO","SP_(Decimal)_LTO","PaceForm","Pace %","Draw","Age","Weight","History","#","Rating","Classifications","Course Characteristics","Qual","Tissue Odds","Tissue Numerical Odds","Min Age","Max Age","Hcap Limit","Runners","Orig_Runners","Main","Main Stats","Stats","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","DSLR(F)","DSLR(J)","Colour","Sex","Dam","Sire","Equip","Pen","Draw IV","FWins","FRuns","fPRB","fPRB^2","50% Low SR","70% Low SR","PvSTot","PvSTotL3","50% High SR","12 Tick Higher SR","BSP","IR_Lowest","%DiffLOW","IR_Highest","Replay","%DiffHIGH","Sex","t7PRB","t14PRB","t28PRB","t56PRB","UR5","UR6","Numerical Odds","POSAFTUPG","CHGPOS","LTO_POSAFTUPG","LTO_CHGPOS"
"30/08/2026","14:55","Yarmouth","Kinswoman","4.00","-8.33","3.75","-69.82","1.83","-72.33","YES","4/9 (F)","-85.20","1","1","Harry Davies","William Haggas","74","174","15","86","74","66","67","C","66","72","67","31","40","71","6","30/08/2026 14:55","5f 42y","Turf","C","3","1142","0","9483.00","Bodhi Solutions - Exceeding Expectations In Construction Handicap (Class C)","1","","","0.00","134","21121-26984","0","0","0","0.00","0.00","0.00","3","6","14","21.43","42.86","0.00","-8.18","89.39","C","3","15702.00","138","5f 34y","1134","5.63","5.00","PPPPL-LHPPP","23.00","2","4","9.8","D","6","68","Hcap","Left - Galloping","3yo+,95","9/1","9.00","3","","95","4","9","302","587","285","97","87","88","13","15","","b","f","Ladyship","Mehmas","","0","1.14","3","14","76.72","62.62","28.57","28.57","-4","-1","0.00","33.33","1.47","1.01","-31.29","1.60","YES","8.84","Female","52.16","65.11","61.84","59.66","0.00","0.00","0.44","","","",""
"30/08/2026","14:55","Yarmouth","Seven Questions","10.00","-11.11","9.00","-56.25","4.50","-61.11","YES","6/1 (2F)","-33.33","4","3","Jack Mitchell","Robert Cowell","47","108","33","86","80","65","58","B","61","78","64","35","28","63","6","30/08/2026 14:55","5f 42y","Turf","C","3","1142","0","9483.00","Bodhi Solutions - Exceeding Expectations In Construction Handicap (Class C)","4","","","0.00","134","700-3641700","0","0","0","0.00","0.00","0.00","5","4","28","17.86","14.29","0.00","18.63","142.48","B","2","38655.00","122","5f","1100","24.00","19.00","PPH-PPLHLPH","23.00","1","5","9.8","CD","4","51","Hcap","Left - Galloping","3yo+,95","15/2","7.50","3","","95","4","9","287","603","316","77","92","91","56","33","","b","g","Get Up And Dance","Kodiac","p","0","0.97","5","28","53.43","39.63","42.86","21.43","12","-3","40.00","40.00","9.20","40.00","334.78","1000.00","YES","10769.57","Male","60.00","53.12","55.14","47.93","0.00","0.00","6.00","","","",""
"30/08/2026","14:50","Beverley","Picnic Princess","12.00","27.27","15.00","-14.29","13.00","9.09","NO","16/1","45.45","5","9","Shane Gray","Richard Fahey","","49","","0","","","","","","","","0","18","18","0","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","5","","","0.00","128","","0","0","0","0.00","0.00","0.00","0","0","0","0.00","0.00","0.00","0.00","0.00","","","0.00","","","0","0.00","0.00","","0.00","12","2","9.2","","8","48","Mdn-Fil","Right - Stiff","2yo","","0.00","2","2","","13","13","255","577","322","77","75","70","100","","","b","f","Flycatcher","Ardad","","0","0.75","0","0","0.00","0.00","0.00","0.00","","","0.00","0.00","17.00","150.00","782.35","1000.00","YES","5782.35","Female","57.11","50.93","49.78","48.11","0.00","0.00","16.00","","","",""
"30/08/2026","14:50","Beverley","Get On That Baby","34.00","0.00","34.00","-24.24","26.00","-24.24","NO","25/1","-24.24","4","8","Miss Joanna Mason","Michael Easterby","","50","","0","","","","","","","","0","14","14","0","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","4","","","0.00","128","","0","0","0","0.00","0.00","0.00","0","0","0","0.00","0.00","0.00","0.00","0.00","","","0.00","","","0","0.00","0.00","","0.00","4","2","9.2","","6","51","Mdn-Fil","Right - Stiff","2yo","","0.00","2","2","","13","13","243","560","317","71","70","76","100","","","b","f","Sharsted","Arizona","","0","1.73","0","0","0.00","0.00","0.00","0.00","","","0.00","0.00","28.31","19.50","-31.12","1000.00","YES","3432.32","Female","33.97","47.55","46.24","45.76","0.00","0.00","25.00","","","",""
"30/08/2026","14:50","Beverley","Dorothea Hope","9.00","-18.75","7.50","0.00","7.50","-18.75","NO","6/1","-25.00","12","11","Jason Hart","Tim Easterby","47","36","23","56","54","47","47","E","47","47","47","5","8","13","0","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","12","","","0.00","128","458","0","0","0","0.00","0.00","0.00","0","0","3","0.00","0.00","0.00","-3.00","0.00","D","4","5400.00","122","5f","1100","84.11","67.00","HHH","0.00","1","2","9.2","","3","38","Mdn-Fil","Right - Stiff","2yo","25/1","25.00","2","2","","13","13","274","551","277","74","88","91","24","23","","b","f","Afeefah","Invincible Army","","0","1.73","0","3","55.56","34.15","0.00","0.00","1","1","0.00","0.00","9.06","30.00","231.13","1000.00","YES","10937.53","Female","56.59","46.93","48.31","48.03","0.00","0.00","6.00","","","",""
"30/08/2026","14:50","Beverley","Pivotal Voyage","6.00","10.00","6.50","18.18","7.50","30.00","NO","4/1 (2F)","-20.00","1","7","Tom Eaves","Kevin Ryan","","52","","0","","","","","","","","0","18","18","0","30/08/2026 14:50","5f","Turf","D","4","1100","0","5400.00","Churchill Tyres EBF Restricted Maiden Fillies' Stakes (GBB Race) (Class D)","1","","","0.00","128","","0","0","0","0.00","0.00","0.00","0","0","0","0.00","0.00","0.00","0.00","0.00","","","0.00","","","0","0.00","0.00","","0.00","2","2","9.2","","9","64","Mdn-Fil","Right - Stiff","2yo","","0.00","2","2","","13","13","255","556","301","82","48","71","100","","","ch","f","Portico","Space Traveller","","0","1.70","0","0","0.00","0.00","0.00","0.00","","","0.00","0.00","5.40","1.01","-81.30","6.20","YES","14.81","Female","58.27","49.55","44.45","43.66","0.00","0.00","4.00","","","",""
"30/08/2026","14:35","Goodwood","Toyotomi","12.00","9.09","13.00","-37.50","8.50","-31.82","YES","9/1","-18.18","6","2","Daniel Tudhope","David O'Meara","65","74","71","94","72","68","68","C","68","71","66","33","28","61","0","30/08/2026 14:35","6f","Turf","B","2","1320","0","23193.00","Virgin Bet Daily Price Boosts Handicap (Class B)","6","","","0.00","133","8705-56310","0","0","0","0.00","0.00","0.00","1","1","9","11.11","11.11","0.00","-6.75","104.68","B","2","90195.00","127","6f","1320","177.68","81.00","HHHH-HHHHH","0.00","4","5","9.7","CD","4","67","Hcap","Right - Sharp / Undulating","3yo+,100","11/1","11.00","3","","100","10","15","188","466","278","71","75","67","65","71","","b","g","Tribune","Blue Point","","0","1.46","1","9","47.21","29.60","33.33","22.22","5","3","0.00","100.00","13.00","9.00","-30.77","140.00","YES","976.92","Male","59.10","51.78","55.44","51.15","0.00","0.00","9.00","","","19","0"
"30/08/2026","14:25","Cork","Cause I Like You","11.00","0.00","11.00","10.00","12.00","10.00","NO","8/1","-20.00","2","5","Wesley Joyce","M Mulvany","64","94","15","49","66","54","62","F","64","64","54","22","37","59","2","30/08/2026 14:25","1m","Turf","F","6","1760","0","6000.00","Book Tickets Online At www.corkracecourse.ie Apprentice Handicap (Class F) (0-60)","2","","","0.00","131","8054065215","0","0","0","0.00","0.00","0.00","1","1","15","6.67","6.67","0.00","-10.67","60.00","F","6","6000.00","121","1m","1760","20.00","13.00","HHHPPPHHHP","4.00","14","3","9.5","D","13","53","Hcap-App","Right - Easy","3yo,60","11/1","11.00","3","3","60","16","16","296","564","268","78","65","75","50","15","","b","f","Diamond Rio","Dandy Man","tp","0","0.88","1","15","58.32","39.14","26.67","13.33","7","3","100.00","100.00","11.50","55.00","378.26","1000.00","YES","8595.65","Female","44.74","42.55","45.34","53.09","0.00","0.00","8.00","","","",""
"30/08/2026","14:25","Cork","Ochtar Againn","17.00","12.50","19.00","38.89","26.00","56.25","NO","22/1","37.50","16","14","Paddy Harnett","M J Byrne","53","24","23","52","59","50","57","E","59","59","49","7","3","10","0","30/08/2026 14:25","1m","Turf","F","6","1760","0","6000.00","Book Tickets Online At www.corkracecourse.ie Apprentice Handicap (Class F) (0-60)","16","","","0.00","134","7-0050047","0","0","0","0.00","0.00","0.00","0","0","8","0.00","0.00","0.00","-8.00","0.00","F","6","6000.00","130","7f","1540","7.58","6.00","H-HHHHHHH","0.00","12","3","9.8","","8","31","Hcap-App","Right - Easy","3yo,60","40/1","40.00","3","3","60","16","16","206","296","90","43","70","55","-78","23","","b","f","Lady Athaliah","Profitable","p","0","0.30","0","8","38.45","20.46","12.50","12.50","-2","1","0.00","0.00","35.48","450.00","1168.32","950.00","YES","2577.56","Female","0.00","0.00","76.92","66.62","0.00","0.00","22.00","","","",""
"30/08/2026","14:35","Goodwood","Strike Red","9.50","17.65","11.00","-20.00","9.00","-5.88","YES","8/1","-5.88","7","5","Billy Garritty","Richard Fahey","77","53","44","91","80","67","72","B","71","77","66","45","54","99","4","30/08/2026 14:35","6f","Turf","B","2","1320","0","23193.00","Virgin Bet Daily Price Boosts Handicap (Class B)","7","","","0.00","130","800-3107421","0","0","0","0.00","0.00","0.00","10","8","59","16.95","13.56","0.00","15.75","275.47","B","2","19328.00","131","6f 6y","1326","5.63","5.00","PHP-PHHHHPP","11.00","5","8","9.4","D","10","65","Hcap","Right - Sharp / Undulating","3yo+,100","8/1","8.00","3","","100","10","15","284","479","195","47","58","69","21","44","","b","g","Capulet Monteque","Dark Angel","","0","1.12","10","59","64.90","49.23","35.59","23.73","9","3","20.00","30.00","11.00","11.00","0.00","150.00","YES","1263.64","Male","57.11","50.93","49.78","48.11","0.00","0.00","8.00","","","1","0"
